| Epoch: 1/2451 (408/408) | Loss: 9.2540 | 0.6 steps/s | Step: 0k | 
| Epoch: 2/2451 (408/408) | Loss: 9.0411 | 0.6 steps/s | Step: 0k | 
| Epoch: 3/2451 (408/408) | Loss: 8.8612 | 0.6 steps/s | Step: 1k | 
| Epoch: 4/2451 (408/408) | Loss: 8.6431 | 0.6 steps/s | Step: 1k | 
| Epoch: 5/2451 (408/408) | Loss: 8.4811 | 0.5 steps/s | Step: 2k | 
| Epoch: 6/2451 (408/408) | Loss: 8.6151 | 0.5 steps/s | Step: 2k | 
| Epoch: 7/2451 (408/408) | Loss: 7.6418 | 0.5 steps/s | Step: 2k | 
| Epoch: 8/2451 (408/408) | Loss: 7.5404 | 0.5 steps/s | Step: 3k | 
| Epoch: 9/2451 (408/408) | Loss: 7.4691 | 0.5 steps/s | Step: 3k | 
| Epoch: 10/2451 (408/408) | Loss: 7.8432 | 0.5 steps/s | Step: 4k | 
| Epoch: 11/2451 (408/408) | Loss: 7.9496 | 0.5 steps/s | Step: 4k | 
| Epoch: 12/2451 (408/408) | Loss: 7.9804 | 0.5 steps/s | Step: 4k | 
| Epoch: 13/2451 (408/408) | Loss: 7.8412 | 0.5 steps/s | Step: 5k | 
| Epoch: 14/2451 (408/408) | Loss: 7.6208 | 0.5 steps/s | Step: 5k | 
| Epoch: 15/2451 (408/408) | Loss: 7.4685 | 0.5 steps/s | Step: 6k | 
| Epoch: 16/2451 (408/408) | Loss: 7.0617 | 0.5 steps/s | Step: 6k | 
| Epoch: 17/2451 (408/408) | Loss: 7.0114 | 0.5 steps/s | Step: 6k | 
| Epoch: 18/2451 (408/408) | Loss: 6.9607 | 0.5 steps/s | Step: 7k | 
| Epoch: 19/2451 (408/408) | Loss: 6.9222 | 0.5 steps/s | Step: 7k | 
| Epoch: 20/2451 (408/408) | Loss: 6.8824 | 0.5 steps/s | Step: 8k | 
| Epoch: 21/2451 (408/408) | Loss: 6.8432 | 0.5 steps/s | Step: 8k | 
| Epoch: 22/2451 (408/408) | Loss: 6.7853 | 0.5 steps/s | Step: 8k | 
| Epoch: 23/2451 (408/408) | Loss: 6.7468 | 0.4 steps/s | Step: 9k | 
| Epoch: 24/2451 (408/408) | Loss: 8.0377 | 0.4 steps/s | Step: 9k | 
| Epoch: 25/2451 (408/408) | Loss: 7.0751 | 0.4 steps/s | Step: 10k | 
| Epoch: 26/2451 (408/408) | Loss: 6.9831 | 0.4 steps/s | Step: 10k | 
| Epoch: 27/2451 (408/408) | Loss: 6.9179 | 0.4 steps/s | Step: 11k | 
| Epoch: 28/2451 (408/408) | Loss: 6.8939 | 0.4 steps/s | Step: 11k | 
| Epoch: 29/2451 (408/408) | Loss: 6.8474 | 0.4 steps/s | Step: 11k | 
| Epoch: 30/2451 (408/408) | Loss: 6.8111 | 0.4 steps/s | Step: 12k | 
| Epoch: 31/2451 (408/408) | Loss: 6.7965 | 0.4 steps/s | Step: 12k | 
| Epoch: 32/2451 (408/408) | Loss: 6.7539 | 0.5 steps/s | Step: 13k | 
| Epoch: 33/2451 (408/408) | Loss: 6.7248 | 0.5 steps/s | Step: 13k | 
| Epoch: 34/2451 (408/408) | Loss: 6.6836 | 0.6 steps/s | Step: 13k | 
| Epoch: 35/2451 (408/408) | Loss: 6.6536 | 0.6 steps/s | Step: 14k | 
| Epoch: 36/2451 (408/408) | Loss: 6.6423 | 0.6 steps/s | Step: 14k | 
| Epoch: 37/2451 (408/408) | Loss: 6.6727 | 0.6 steps/s | Step: 15k | 
| Epoch: 38/2451 (408/408) | Loss: 6.6567 | 0.6 steps/s | Step: 15k | 
| Epoch: 39/2451 (408/408) | Loss: 6.5400 | 0.6 steps/s | Step: 15k | 
| Epoch: 40/2451 (408/408) | Loss: 6.4997 | 0.6 steps/s | Step: 16k | 
| Epoch: 41/2451 (408/408) | Loss: 6.4828 | 0.6 steps/s | Step: 16k | 
| Epoch: 42/2451 (408/408) | Loss: 6.5478 | 0.6 steps/s | Step: 17k | 
| Epoch: 43/2451 (408/408) | Loss: 6.6079 | 0.6 steps/s | Step: 17k | 
| Epoch: 44/2451 (408/408) | Loss: 6.4311 | 0.6 steps/s | Step: 17k | 
| Epoch: 45/2451 (408/408) | Loss: 6.4113 | 0.6 steps/s | Step: 18k | 
| Epoch: 46/2451 (408/408) | Loss: 6.3841 | 0.6 steps/s | Step: 18k | 
| Epoch: 47/2451 (408/408) | Loss: 6.3715 | 0.6 steps/s | Step: 19k | 
| Epoch: 48/2451 (408/408) | Loss: 6.3488 | 0.6 steps/s | Step: 19k | 
| Epoch: 49/2451 (408/408) | Loss: 6.3264 | 0.6 steps/s | Step: 19k | 
| Epoch: 50/2451 (408/408) | Loss: 6.3190 | 0.6 steps/s | Step: 20k | 
| Epoch: 51/2451 (408/408) | Loss: 6.3396 | 0.6 steps/s | Step: 20k | 
| Epoch: 52/2451 (408/408) | Loss: 6.6394 | 0.6 steps/s | Step: 21k | 
| Epoch: 53/2451 (408/408) | Loss: 6.3048 | 0.6 steps/s | Step: 21k | 
| Epoch: 54/2451 (408/408) | Loss: 6.2744 | 0.6 steps/s | Step: 22k | 
| Epoch: 55/2451 (408/408) | Loss: 6.2524 | 0.6 steps/s | Step: 22k | 
| Epoch: 56/2451 (408/408) | Loss: 6.6334 | 0.6 steps/s | Step: 22k | 
| Epoch: 57/2451 (408/408) | Loss: 6.5053 | 0.6 steps/s | Step: 23k | 
| Epoch: 58/2451 (408/408) | Loss: 6.4064 | 0.6 steps/s | Step: 23k | 
| Epoch: 59/2451 (408/408) | Loss: 6.3873 | 0.6 steps/s | Step: 24k | 
| Epoch: 60/2451 (408/408) | Loss: 6.3919 | 0.6 steps/s | Step: 24k | 
| Epoch: 61/2451 (408/408) | Loss: 6.5657 | 0.6 steps/s | Step: 24k | 
| Epoch: 1/2390 (408/408) | Loss: 6.3616 | 0.4 steps/s | Step: 25k | 
| Epoch: 2/2390 (408/408) | Loss: 6.3385 | 0.6 steps/s | Step: 25k | 
| Epoch: 3/2390 (408/408) | Loss: 6.3382 | 0.6 steps/s | Step: 26k | 
| Epoch: 4/2390 (408/408) | Loss: 6.3474 | 0.5 steps/s | Step: 26k | 
| Epoch: 5/2390 (408/408) | Loss: 6.3214 | 0.5 steps/s | Step: 26k | 
| Epoch: 6/2390 (408/408) | Loss: 6.3073 | 0.5 steps/s | Step: 27k | 
| Epoch: 7/2390 (408/408) | Loss: 6.6359 | 0.5 steps/s | Step: 27k | 
| Epoch: 8/2390 (408/408) | Loss: 6.3274 | 0.4 steps/s | Step: 28k | 
| Epoch: 9/2390 (408/408) | Loss: 6.2941 | 0.4 steps/s | Step: 28k | 
| Epoch: 10/2390 (408/408) | Loss: 6.2799 | 0.4 steps/s | Step: 28k | 
| Epoch: 11/2390 (408/408) | Loss: 6.1000 | 0.4 steps/s | Step: 29k | 
| Epoch: 12/2390 (408/408) | Loss: 6.2109 | 0.4 steps/s | Step: 29k | 
| Epoch: 13/2390 (408/408) | Loss: 6.2427 | 0.4 steps/s | Step: 30k | 
| Epoch: 14/2390 (408/408) | Loss: 6.2401 | 0.6 steps/s | Step: 30k | 
| Epoch: 15/2390 (408/408) | Loss: 6.2278 | 0.5 steps/s | Step: 31k | 
| Epoch: 16/2390 (408/408) | Loss: 6.2191 | 0.5 steps/s | Step: 31k | 
| Epoch: 17/2390 (408/408) | Loss: 6.2149 | 0.5 steps/s | Step: 31k | 
| Epoch: 18/2390 (408/408) | Loss: 6.4341 | 0.4 steps/s | Step: 32k | 
| Epoch: 19/2390 (408/408) | Loss: 6.1087 | 0.4 steps/s | Step: 32k | 
| Epoch: 20/2390 (408/408) | Loss: 6.5020 | 0.4 steps/s | Step: 33k | 
| Epoch: 21/2390 (408/408) | Loss: 6.0939 | 0.5 steps/s | Step: 33k | 
| Epoch: 22/2390 (408/408) | Loss: 6.0570 | 0.4 steps/s | Step: 33k | 
